Source,Target
1146,1
1146,19
1146,37
1146,59
1146,60
1147,2
1147,20
1147,38
1147,61
1147,81
1147,103
1147,125
1147,148
1147,171
1147,194
1147,217
1147,240
1147,263
1147,286
1147,309
1148,3
1148,22
1148,37
1149,4
1149,5
1149,6
1150,2
1150,7
1150,20
1150,38
1150,63
1150,84
1151,8
1151,23
1152,6
1152,24
1152,40
1152,85
1152,106
1152,129
1152,151
1152,174
1152,200
1153,9
1153,25
1153,41
1153,59
1153,64
1154,10
1154,21
1154,39
1154,62
1154,85
1154,86
1154,107
1154,130
1154,152
1155,1
1155,26
1155,67
1155,87
1155,108
1156,10
1156,21
1156,19
1156,42
1156,40
1156,69
1156,89
1156,110
1156,127
1156,157
1156,158
1157,5
1157,11
1157,27
1157,45
1158,12
1158,28
1158,47
1158,71
1158,90
1158,112
1159,12
1159,29
1159,27
1159,48
1159,72
1159,91
1160,7
1161,6
1161,30
1161,49
1161,73
1161,60
1161,69
1161,93
1161,91
1161,84
1161,108
1164,4
1164,31
1165,11
1165,5
1165,30
1165,45
1165,75
1165,95
1165,118
1165,135
1166,3
1166,32
1166,51
1166,59
1168,4
1168,31
1168,52
1168,64
1169,13
1169,33
1169,30
1169,49
1169,67
1172,11
1172,27
1172,48
1173,14
1173,29
1173,53
1173,76
1173,97
1173,93
1173,115
1173,125
1173,148
1176,13
1176,55
1176,77
1176,99
1176,120
1176,133
1176,150
1176,173
1177,2
1177,34
1177,54
1177,53
1177,66
1178,15
1178,19
1178,42
1178,78
1178,86
1178,109
1178,130
1178,153
1178,187
1178,209
1179,16
1179,35
1179,43
1179,73
1179,100
1179,120
1179,122
1180,15
1180,19
1180,42
1180,63
1180,84
1180,119
1180,141
1181,10
1181,7
1181,20
1181,56
1181,79
1181,89
1181,110
1182,14
1182,29
1182,53
1182,76
1182,97
1182,123
1182,137
1182,131
1183,13
1183,33
1183,45
1183,54
1184,13
1184,33
1184,45
1184,75
1184,95
1184,92
1184,116
1184,140
1184,161
1184,186
1184,200
1184,233
1185,9
1185,38
1185,61
1185,59
1185,85
1185,106
1186,17
1186,22
1186,43
1186,73
1187,18
1187,32
1187,51
1187,68
1187,88
1187,108
1187,110
1187,126
1188,14
1188,29
1188,53
1188,76
1188,97
1188,103
1188,125
1188,155
1189,15
1189,36
1190,14
1190,29
1190,53
1190,72
1190,91
1190,124
1190,108
1191,8
1191,23
1193,5
1193,30
1193,49
1193,71
1193,90
1194,13
1194,33
1194,45
1194,75
1194,95
1194,118
1194,143
1195,5
1195,30
1196,9
1196,25
1196,41
1196,59
1196,85
1196,106
1196,186
1197,13
1197,33
1200,2
1200,34
1200,54
1200,68
1200,88
1200,108
1200,131
1200,161
1202,14
1202,28
1202,47
1203,3
1204,11
1204,27
1204,48
1204,40
1205,2
1205,34
1205,54
1206,15
1206,19
1207,12
1207,28
1207,47
1207,71
1207,64
1208,17
1208,22
1208,37
1208,61
1208,59
1210,16
1210,35
1210,43
1210,73
1210,101
1210,122
1210,141
1210,165
1210,176
1210,198
1210,222
1212,12
1212,28
1212,47
1212,71
1212,100
1215,3
1215,36
1215,44
1215,70
1216,13
1216,33
1217,10
1217,21
1217,39
1219,3
1219,36
1219,44
1219,70
1219,93
1219,85
1219,106
1219,129
1219,151
1220,14
1220,37
1221,15
1221,34
1221,40
1222,11
1222,27
1222,48
1222,76
1222,97
1222,123
1224,4
1224,31
1224,29
1224,53
1224,54
1225,11
1225,27
1225,48
1225,37
1225,74
1225,94
1225,120
1226,18
1226,22
1227,16
1227,19
1227,56
1228,7
1228,20
1228,49
1228,67
1228,87
1229,15
1229,19
1229,42
1229,51
1231,4
1231,31
1231,24
1232,7
1235,18
1235,32
1236,9
1236,25
1236,41
1236,59
1237,1
1237,26
1237,23
1237,43
1237,73
1237,101
1237,122
1237,141
1237,165
1237,188
1237,187
1237,209
1238,7
1238,35
1239,10
1239,21
1240,18
1240,32
1240,51
1240,68
1240,88
1240,108
1240,131
1240,169
1240,180
1240,202
1241,15
1241,27
1241,48
1241,72
1241,91
1241,87
1241,103
1241,155
1241,181
1242,17
1242,22
1242,21
1242,39
1242,62
1242,83
1242,105
1242,135
1243,16
1243,35
1243,43
1243,51
1243,68
1243,88
1243,112
1243,146
1243,169
1243,180
1245,16
1245,35
1245,43
1245,61
1245,81
1248,11
1248,27
1248,48
1248,72
1248,92
1248,113
1250,5
1250,30
1250,49
1250,67
1250,87
1251,12
1251,28
1251,47
1251,71
1251,68
1251,88
1252,12
1252,28
1252,47
1252,37
1252,65
1252,92
1252,94
1252,113
1252,121
1252,139
1252,127
1252,156
1252,157
1252,188
1252,190
1252,214
1252,229
1252,227
1252,259
1252,256
1253,8
1253,23
1253,26
1253,58
1253,60
1253,78
1253,86
1253,109
1253,130
1253,153
1254,4
1254,31
1254,52
1254,64
1254,100
1254,110
1254,140
1254,161
1254,186
1254,179
1254,185
1254,207
1254,221
1254,255
1255,5
1255,6
1255,24
1255,46
1255,73
1255,100
1255,107
1255,143
1255,158
1256,16
1256,35
1256,58
1256,60
1256,90
1256,112
1256,107
1256,145
1256,168
1256,184
1256,171
1257,18
1257,32
1257,51
1263,18
1263,32
1264,2
1264,22
1264,25
1264,41
1264,59
1265,1
1265,26
1265,58
1265,60
1265,102
1265,115
1265,132
1265,152
1266,6
1266,24
1266,46
1266,63
1266,84
1266,119
1266,136
1266,167
1266,154
1266,178
1267,3
1267,36
1267,44
1267,70
1267,93
1267,117
1267,116
1267,140
1267,161
1267,186
1267,200
1268,5
1268,7
1268,20
1269,16
1269,13
1269,33
1272,4
1272,31
1272,52
1272,40
1272,42
1274,8
1274,21
1275,5
1275,30
1275,49
1275,67
1275,87
1275,120
1275,106
1276,17
1276,22
1276,31
1276,52
1277,8
1277,23
1279,17
1279,22
1279,37
1279,48
1279,72
1279,91
1279,85
1279,117
1279,134
1279,144
1279,148
1279,171
1279,194
1279,217
1279,251
1280,9
1280,25
1280,54
1281,2
1281,34
1283,17
1283,22
1283,48
1283,72
1283,98
1284,6
1284,24
1284,40
1284,47
1284,71
1284,66
1284,93
1285,1
1285,26
1285,20
1286,10
1287,16
1287,35
1287,48
1288,3
1288,36
1288,52
1288,64
1288,100
1288,107
1288,126
1289,13
1289,33
1289,45
1289,75
1289,95
1289,118
1289,143
1289,158
1289,186
1289,171
1290,3
1290,36
1290,44
1290,70
1290,92
1290,95
1290,118
1290,117
1291,11
1291,27
1291,48
1291,72
1291,91
1291,124
1292,3
1292,5
1292,30
1292,49
1293,12
1293,28
1294,1
1294,26
1294,58
1294,60
1294,90
1294,112
1294,146
1294,169
1294,180
1295,8
1295,23
1295,56
1295,79
1295,98
1296,9
1296,25
1297,5
1297,30
1297,55
1297,63
1297,65
1298,1
1298,26
1298,58
1298,60
1298,90
1298,113
1298,144
1298,164
1299,13
1299,33
1299,102
1300,3
1300,19
1300,42
1300,70
1300,79
1302,14
1302,29
1302,31
1303,10
1303,21
1303,39
1303,62
1304,8
1304,23
1305,11
1305,3
1305,36
1305,44
1305,70
1305,65
1306,18
1306,36
1306,44
1306,70
1306,65
1306,93
1306,108
1306,131
1306,181
1307,7
1307,2
1307,34
1307,54
1307,37
1307,57
1307,80
1307,70
1307,81
1308,1
1308,26
1308,58
1308,60
1309,12
1309,28
1309,47
1309,71
1309,82
1309,104
1309,126
1310,2
1310,34
1310,54
1310,74
1310,63
1310,94
1310,114
1310,139
1310,156
1310,159
1312,7
1312,20
1312,21
1313,1
1313,26
1314,18
1314,32
1314,51
1315,5
1315,24
1316,18
1316,32
1316,51
1316,43
1316,67
1316,87
1316,83
1316,105
1316,128
1316,149
1316,191
1316,215
1316,224
1317,3
1317,36
1317,41
1317,59
1317,85
1320,14
1320,29
1320,53
1320,76
1320,97
1320,123
1320,142
1320,164
1320,223
1321,7
1321,20
1321,38
1321,64
1322,10
1322,21
1322,41
1322,59
1322,67
1323,17
1323,22
1323,39
1323,79
1324,10
1324,25
1324,41
1324,59
1324,61
1324,96
1324,121
1325,9
