id,label,subset
1,HOU-1975,1
2,MIL-1975,1
3,DET-1975,1
4,CHI-1975,1
5,NOJ-1975,1
6,KCO-1975,1
7,LAL-1975,1
8,POR-1975,1
9,BOS-1975,1
10,PHO-1975,1
11,NYK-1975,1
12,GSW-1975,1
13,PHI-1975,1
14,CLE-1975,1
15,SEA-1975,1
16,ATL-1975,1
17,BUF-1975,1
18,WSB-1975,1
19,SEA-1976,1
20,LAL-1976,1
21,PHO-1976,1
22,BUF-1976,1
23,POR-1976,1
24,KCK-1976,1
25,BOS-1976,1
26,HOU-1976,1
27,NYK-1976,1
28,GSW-1976,1
29,CLE-1976,1
30,NOJ-1976,1
31,CHI-1976,1
32,WSB-1976,1
33,PHI-1976,1
34,MIL-1976,1
35,ATL-1976,1
36,DET-1976,1
37,BUF-1977,1
38,LAL-1977,1
39,PHO-1977,1
40,NYN-1977,1
41,BOS-1977,1
42,SEA-1977,1
43,ATL-1977,1
44,DET-1977,1
45,PHI-1977,1
46,KCK-1977,1
47,GSW-1977,1
48,NYK-1977,1
49,NOJ-1977,1
50,IND-1977,1
51,WSB-1977,1
52,CHI-1977,1
53,CLE-1977,1
54,MIL-1977,1
55,SAS-1977,1
56,POR-1977,1
57,DEN-1977,1
58,HOU-1977,1
59,BOS-1978,1
60,HOU-1978,1
61,LAL-1978,1
62,PHO-1978,1
63,KCK-1978,1
64,CHI-1978,1
65,NJN-1978,1
66,BUF-1978,1
67,NOJ-1978,1
68,WSB-1978,1
69,IND-1978,1
70,DET-1978,1
71,GSW-1978,1
72,NYK-1978,1
73,ATL-1978,1
74,MIL-1978,1
75,PHI-1978,1
76,CLE-1978,1
77,SAS-1978,1
78,SEA-1978,1
79,POR-1978,1
80,DEN-1978,1
81,LAL-1979,1
82,GSW-1979,1
83,PHO-1979,1
84,KCK-1979,1
85,BOS-1979,1
86,SEA-1979,1
87,NOJ-1979,1
88,WSB-1979,1
89,IND-1979,1
90,HOU-1979,1
91,NYK-1979,1
92,NJN-1979,1
93,DET-1979,1
94,MIL-1979,1
95,PHI-1979,1
96,DEN-1979,1
97,CLE-1979,1
98,POR-1979,1
99,SAS-1979,1
100,CHI-1979,1
101,ATL-1979,1
102,SDC-1979,1
103,LAL-1980,1
104,GSW-1980,1
105,PHO-1980,1
106,BOS-1980,1
107,CHI-1980,1
108,WSB-1980,1
109,SEA-1980,1
110,IND-1980,1
111,SDC-1980,1
112,HOU-1980,1
113,NJN-1980,1
114,SAS-1980,1
115,POR-1980,1
116,MIL-1980,1
117,DET-1980,1
118,PHI-1980,1
119,KCK-1980,1
120,UTA-1980,1
121,DEN-1980,1
122,ATL-1980,1
123,CLE-1980,1
124,NYK-1980,1
125,LAL-1981,1
126,GSW-1981,1
127,IND-1981,1
128,PHO-1981,1
129,BOS-1981,1
130,SEA-1981,1
131,WSB-1981,1
132,POR-1981,1
133,UTA-1981,1
134,DET-1981,1
135,SDC-1981,1
136,KCK-1981,1
137,DAL-1981,1
138,CLE-1981,1
139,SAS-1981,1
140,MIL-1981,1
141,ATL-1981,1
142,NYK-1981,1
143,PHI-1981,1
144,NJN-1981,1
145,CHI-1981,1
146,HOU-1981,1
147,DEN-1981,1
148,LAL-1982,1
149,PHO-1982,1
150,DAL-1982,1
151,BOS-1982,1
152,POR-1982,1
153,SEA-1982,1
154,NJN-1982,1
155,WSB-1982,1
156,SAS-1982,1
157,IND-1982,1
158,PHI-1982,1
159,CLE-1982,1
160,DET-1982,1
161,MIL-1982,1
162,SDC-1982,1
163,GSW-1982,1
164,NYK-1982,1
165,ATL-1982,1
166,UTA-1982,1
167,KCK-1982,1
168,CHI-1982,1
169,HOU-1982,1
170,DEN-1982,1
171,LAL-1983,1
172,PHO-1983,1
173,DAL-1983,1
174,BOS-1983,1
175,PHI-1983,1
176,UTA-1983,1
177,SDC-1983,1
178,CLE-1983,1
179,NJN-1983,1
180,HOU-1983,1
181,WSB-1983,1
182,SAS-1983,1
183,DET-1983,1
184,CHI-1983,1
185,GSW-1983,1
186,MIL-1983,1
187,SEA-1983,1
188,ATL-1983,1
189,POR-1983,1
190,IND-1983,1
191,NYK-1983,1
192,KCK-1983,1
193,DEN-1983,1
194,LAL-1984,1
195,PHO-1984,1
196,DAL-1984,1
197,BOS-1984,1
198,UTA-1984,1
199,DEN-1984,1
200,MIL-1984,1
201,CLE-1984,1
202,HOU-1984,1
203,WSB-1984,1
204,SAS-1984,1
205,DET-1984,1
206,NJN-1984,1
207,GSW-1984,1
208,SDC-1984,1
209,SEA-1984,1
210,ATL-1984,1
211,CHI-1984,1
212,KCK-1984,1
213,POR-1984,1
214,IND-1984,1
215,NYK-1984,1
216,PHI-1984,1
217,LAL-1985,1
218,PHO-1985,1
