Source,Target,PlayerPerformance
1146,1,3.7
1146,19,0.6
1146,37,0.3
1146,59,0.0
1146,60,0.1
1147,2,12.9
1147,20,17.0
1147,38,17.8
1147,61,12.1
1147,81,14.4
1147,103,14.8
1147,125,14.3
1147,148,10.7
1147,171,10.9
1147,194,8.9
1147,217,11.2
1147,240,10.8
1147,263,7.5
1147,286,5.3
1147,309,2.9
1148,3,0.5
1148,22,0.3
1148,37,1.6
1149,4,0.5
1149,5,0.6
1149,6,0.2
1150,2,0.4
1150,7,3.2
1150,20,3.9
1150,38,4.9
1150,63,2.1
1150,84,0.1
1151,8,0.5
1151,23,1.1
1152,6,11.2
1152,24,8.0
1152,40,2.8
1152,85,1.6
1152,106,8.9
1152,129,6.9
1152,151,5.2
1152,174,2.9
1152,200,1.4
1153,9,0.4
1153,25,0.9
1153,41,0.8
1153,59,0.0
1153,64,-0.1
1154,10,5.2
1154,21,1.8
1154,39,2.1
1154,62,1.0
1154,85,0.0
1154,86,0.8
1154,107,0.6
1154,130,0.6
1154,152,0.0
1155,1,0.2
1155,26,0.0
1155,67,0.5
1155,87,0.0
1155,108,0.2
1156,10,4.5
1156,21,0.0
1156,19,2.8
1156,42,1.9
1156,40,2.9
1156,69,5.9
1156,89,5.2
1156,110,3.9
1156,127,4.4
1156,157,1.0
1156,158,1.9
1157,5,2.1
1157,11,0.5
1157,27,1.5
1157,45,0.1
1158,12,12.7
1158,28,9.6
1158,47,8.4
1158,71,9.7
1158,90,4.2
1158,112,3.4
1159,12,7.6
1159,29,0.4
1159,27,3.3
1159,48,2.0
1159,72,4.4
1159,91,0.0
1160,7,2.3
1161,6,2.2
1161,30,4.3
1161,49,1.8
1161,73,1.2
1161,60,0.0
1161,69,1.1
1161,93,0.0
1161,91,0.0
1161,84,0.3
1161,108,0.1
1164,4,0.2
1164,31,1.5
1165,11,1.1
1165,5,0.4
1165,30,2.9
1165,45,4.1
1165,75,4.7
1165,95,3.7
1165,118,3.4
1165,135,1.0
1166,3,5.3
1166,32,6.3
1166,51,2.9
1166,59,3.6
1168,4,3.8
1168,31,6.3
1168,52,2.3
1168,64,0.2
1169,13,-0.3
1169,33,0.0
1169,30,0.5
1169,49,2.1
1169,67,0.1
1172,11,2.8
1172,27,2.5
1172,48,0.8
1173,14,4.4
1173,29,7.9
1173,53,5.8
1173,76,2.6
1173,97,1.0
1173,93,0.3
1173,115,2.0
1173,125,2.2
1173,148,1.8
1176,13,1.9
1176,55,4.3
1176,77,2.8
1176,99,3.5
1176,120,4.4
1176,133,2.7
1176,150,2.5
1176,173,0.2
1177,2,1.6
1177,34,1.9
1177,54,0.3
1177,53,1.3
1177,66,0.1
1178,15,7.9
1178,19,8.8
1178,42,6.1
1178,78,6.7
1178,86,5.2
1178,109,4.9
1178,130,5.2
1178,153,3.9
1178,187,3.6
1178,209,2.6
1179,16,4.2
1179,35,2.6
1179,43,1.7
1179,73,3.7
1179,100,1.7
1179,120,-0.1
1179,122,0.2
1180,15,3.3
1180,19,8.2
1180,42,4.4
1180,63,4.3
1180,84,2.7
1180,119,-0.1
1180,141,0.2
1181,10,0.2
1181,7,0.7
1181,20,2.5
1181,56,1.3
1181,79,3.1
1181,89,2.3
1181,110,0.0
1182,14,2.9
1182,29,2.6
1182,53,5.3
1182,76,3.4
1182,97,5.0
1182,123,2.0
1182,137,-0.4
1182,131,0.0
1183,13,4.7
1183,33,3.3
1183,45,0.1
1183,54,0.3
1184,13,1.2
1184,33,2.3
1184,45,1.7
1184,75,1.4
1184,95,0.1
1184,92,1.0
1184,116,2.6
1184,140,3.1
1184,161,2.3
1184,186,3.1
1184,200,1.3
1184,233,1.1
1185,9,5.1
1185,38,2.9
1185,61,0.0
1185,59,0.4
1185,85,0.6
1185,106,0.4
1186,17,3.0
1186,22,3.3
1186,43,2.3
1186,73,0.6
1187,18,8.8
1187,32,8.8
1187,51,5.8
1187,68,1.8
1187,88,-0.1
1187,108,0.0
1187,110,0.0
1187,126,0.0
1188,14,6.2
1188,29,6.0
1188,53,5.9
1188,76,6.4
1188,97,3.3
1188,103,3.5
1188,125,4.7
1188,155,1.4
1189,15,6.2
1189,36,1.7
1190,14,5.5
1190,29,7.1
1190,53,3.8
1190,72,2.7
1190,91,3.4
1190,124,0.3
1190,108,2.1
1191,8,1.6
1191,23,1.1
1193,5,2.6
1193,30,2.5
1193,49,3.2
1193,71,2.7
1193,90,0.1
1194,13,7.7
1194,33,10.0
1194,45,6.2
1194,75,7.6
1194,95,4.2
1194,118,1.9
1194,143,0.7
1195,5,2.0
1195,30,0.4
1196,9,9.5
1196,25,10.7
1196,41,4.4
1196,59,10.8
1196,85,4.8
1196,106,5.4
1196,186,2.6
1197,13,6.1
1197,33,1.2
1200,2,7.0
1200,34,9.0
