id,label
0,Zaid Abdul-Aziz
1,Kareem Abdul-Jabbar*
2,Don Adams
3,Rick Adelman
4,Lucius Allen
5,Dan Anderson
6,Tiny Archibald*
7,Jim Ard
8,Dennis Awtrey
9,Gus Bailey
10,Mike Bantom
11,Jim Barnett
12,Rick Barry*
13,Butch Beard
14,Zelmo Beaty*
15,Ron Behagen
18,Leon Benbow
19,Henry Bibby
20,Dave Bing*
22,Tom Boerwinkle
23,Freddie Boyd
26,Bill Bradley*
27,Jim Brewer
30,Allan Bristow
31,Gary Brokaw
32,Fred Brown
33,John Brown
34,Tom Burleson
35,Corky Calhoun
36,Austin Carr
37,Fred Carter
38,Harvey Catchings
39,Don Chaney
40,Ken Charles
41,Phil Chenier
42,Jim Chones
43,Archie Clark
44,Jim Cleamons
45,Barry Clemens
47,E.C. Coleman
48,Doug Collins
49,Mel Counts
50,Dave Cowens*
51,Billy Cunningham*
54,Bob Dandridge
56,Dwight Davis
57,Jim Davis
58,Mel Davis
59,Mickey Davis
60,Rod Derline
61,Derrek Dickey
62,Ernie DiGregorio
64,John Drew
66,Charles Dudley
69,Al Eberhard
70,Leroy Ellis
71,Keith Erickson
73,Chris Ford
74,Fred Foster
75,Jim Fox
76,Walt Frazier*
78,Rowland Garrett
79,John Gianelli
80,Dick Gibbs
81,Herm Gilliam
82,Gail Goodrich*
83,Leonard Gray
85,Matt Guokas
86,Happy Hairston
89,Clem Haskins
90,John Havlicek*
91,Steve Hawes
92,Connie Hawkins*
93,Nate Hawthorne
94,Elvin Hayes*
95,Spencer Haywood*
96,Gar Heard
97,Tom Henderson
99,Lou Hudson
102,Phil Jackson*
104,Aaron James
105,Charles Johnson
106,George Johnson
107,John Johnson
108,Mickey Johnson
109,Ollie Johnson
110,Dwight Jones
111,Jimmy Jones
117,Tom Kozelko
118,Steve Kuberski
119,Kevin Kunnert
120,Sam Lacey
121,Bob Lanier*
122,Stu Lantz
123,Clyde Lee
126,Bob Love
128,Phil Lumpkin
129,Pete Maravich*
130,Jack Marin
131,LaRue Martin
133,Bob McAdoo*
134,Glenn McDonald
135,Jon McGlocklin
137,Jim McMillian
138,Larry McNeill
139,Cliff Meely
140,Gary Melchionni
141,Dean Meminger
142,John Mengelt
143,Steve Mix
144,Eric Money
145,Earl Monroe*
146,Otto Moore
147,Jeff Mullins
148,Calvin Murphy*
149,Lloyd Neal
150,Don Nelson*
151,Louie Nelson
152,Mike Newlin
153,Connie Norman
154,Willie Norwood
156,Steve Patterson
157,Curtis Perry
158,Geoff Petrie
159,Howard Porter
160,Kevin Porter
161,Jim Price
162,Ed Ratleff
163,Clifford Ray
164,Kevin Restani
166,Pat Riley*
167,Ron Riley
168,Mike Riordan
169,Rick Roberson
170,Truck Robinson
171,Curtis Rowe
174,Campy Russell
175,Cazzie Russell
176,Fred Saunders
177,Dale Schlueter
178,Charlie Scott
179,Paul Silas
180,Tal Skinner
181,Jerry Sloan*
182,Bingo Smith
184,Elmore Smith
185,Greg Smith
186,Phil Smith
187,Randy Smith
188,Dick Snyder
189,Mike Sojourner
190,Kevin Stacom
191,Bud Stallworth
193,Larry Steele
194,George Thompson
195,Nate Thurmond*
197,Rudy Tomjanovich
198,George Trapp
200,Wes Unseld*
201,Dick Van
202,Tom Van
203,Norm Van
204,Neal Walk
205,Chet Walker*
206,Foots Walker
207,Jimmy Walker
208,Bill Walton*
210,Cornell Warner
211,Jim Washington
212,Kermit Washington
214,Slick Watts
215,Nick Weatherspoon
216,Scott Wedman
217,Bob Weiss
220,Paul Westphal
221,John Wetzel
222,Jo Jo
223,Sidney Wicks
224,Lenny Wilkens*
225,Jamaal Wilkes*
226,Earl Williams
227,Nate Williams
229,Bobby Wilson
230,Lee Winfield
231,Harthorne Wingo
232,Brian Winters
234,Dave Wohl
235,Alvan Adams
239,Tom Boswell
240,Junior Bridgeman
242,Joe Bryant
245,Darryl Dawkins
247,Eric Fernsten
249,Don Ford
250,World B.
251,Donnie Freeman
252,Kevin Grevey
253,Bob Gross
255,Glenn Hansen
256,Robert Hawkins
257,Wilbur Holland
258,Lionel Hollins
261,Rich Kelley
263,C.J. Kupec
264,John Lambert
265,John Laskowski
267,Clyde Mayes
270,Jim McElroy
271,George McGinnis
272,Tom McMillen
273,Joe Meriweather
274,Dave Meyers
275,Frank Oleynick
276,Cliff Pondexter
277,Bill Robinzine
278,John Roche
279,Bruce Seals
282,John Shumate
283,Ricky Sobers
285,Rudy White
286,Gus Williams
287,Bill Willoughby
288,Tom Abernethy
289,Bird Averitt
290,Tom Barker
291,Marvin Barnes
293,Mike Barr
294,Tim Bassett
296,Mel Bennett
297,Ron Boone
298,Quinn Buckner
300,Don Buse
301,Mack Calvin
302,M.L. Carr
305,Louie Dampier*
307,Adrian Dantley*
308,Johnny Davis
311,Coby Dietrick
312,Leon Douglas
313,Mike Dunleavy
314,Jim Eakins
315,Len Elmore
317,Alex English*
318,Julius Erving*
320,Mike Flynn
321,Terry Furlow
322,Mike Gale
323,Gus Gerard
324,George Gervin*
325,Artis Gilmore*
326,Mike Green
327,Steve Green
328,Paul Griffin
331,Armond Hill
332,Darnell Hillman
334,Kim Hughes
335,Dan Issel*
336,Dennis Johnson*
337,Bobby Jones
338,Caldwell Jones
340,Robin Jones
341,Wil Jones
344,Larry Kenon
345,Billy Knight
346,Mitch Kupchak
347,Bo Lamar
348,Mo Layton
349,Ron Lee
351,Scott Lloyd
352,John Lucas
353,Maurice Lucas
354,Moses Malone*
355,Scott May
356,Andre McCarter
357,Ted McClain
360,Swen Nater
361,Johnny Neumann
362,Mark Olberding
363,Tom Owens
365,Robert Parish*
366,Sonny Parker
367,Billy Paultz
369,Dave Robisch
371,Dan Roundfield
373,Lonnie Shelton
374,James Silas
375,Ralph Simpson
376,Al Skinner
377,Willie Smith
379,Earl Tatum
380,Brian Taylor
381,Fatty Taylor
382,Ira Terrell
383,Chuck Terry
385,David Thompson*
387,Dave Twardzik
388,Jan Van
390,Wally Walker
391,Lloyd Walton
393,Richard Washington
394,Marvin Webster
395,Bob Wilkerson
396,Chuck Williams
398,John Williamson
399,Willie Wise
400,Larry Wright
402,Greg Ballard
403,Kent Benson
404,Otis Birdsong
407,Alonzo Bradley
408,Mike Bratz
410,Kenny Carr
411,Bob Carrington
413,Charlie Criss
415,Brad Davis
416,Walter Davis
418,T.R. Dunn
419,James Edwards
420,Bo Ellis
422,Bayard Forrest
423,Mike Glenn
424,Glen Gondrezick
425,Rickey Green
427,Ernie Grunfeld
428,Joe Hassett
429,Eddie Johnson
430,Larry Johnson
431,Marques Johnson
432,Eddie Jordan
433,Bernard King*
434,Toby Knight
435,John Kuester
436,Tom LaGarde
437,Mark Landsberger
440,Cedric Maxwell
443,Bob Nash
444,Norm Nixon
446,Ben Poquette
447,Robert Reid
448,Anthony Roberts
449,Tony Robertson
450,Tree Rollins
451,Alvin Scott
453,Jack Sikma
455,Robert Smith
457,Wilson Washington
458,Ray Williams
462,Winford Boynes
463,Ron Brewer
465,Marty Byrnes
467,Maurice Cheeks
468,Michael Cooper
469,Wayne Cooper
470,Dave Corzine
