Year,Player,Team,WS,PER,TeamYear
1975,Zaid Abdul-Aziz,HOU,3.7,17.1,HOU-1975
1975,Kareem Abdul-Jabbar*,MIL,12.9,26.4,MIL-1975
1975,Don Adams,DET,0.5,8.4,DET-1975
1975,Rick Adelman,CHI,0.5,11.3,CHI-1975
1975,Rick Adelman,NOJ,0.6,11.2,NOJ-1975
1975,Rick Adelman,KCO,0.2,10.0,KCO-1975
1975,Lucius Allen,MIL,0.4,15.7,MIL-1975
1975,Lucius Allen,LAL,3.2,17.8,LAL-1975
1975,Dan Anderson,POR,0.5,11.2,POR-1975
1975,Tiny Archibald*,KCO,11.2,21.7,KCO-1975
1975,Jim Ard,BOS,0.4,9.5,BOS-1975
1975,Dennis Awtrey,PHO,5.2,13.5,PHO-1975
1975,Gus Bailey,HOU,0.2,11.4,HOU-1975
1975,Mike Bantom,PHO,4.5,15.5,PHO-1975
1975,Jim Barnett,NOJ,2.1,14.6,NOJ-1975
1975,Jim Barnett,NYK,0.5,9.8,NYK-1975
1975,Rick Barry*,GSW,12.7,23.5,GSW-1975
1975,Butch Beard,GSW,7.6,16.1,GSW-1975
1975,Zelmo Beaty*,LAL,2.3,12.8,LAL-1975
1975,Ron Behagen,KCO,2.2,12.6,KCO-1975
1975,Dennis Bell,NYK,0.1,11.2,NYK-1975
1975,Walt Bellamy*,NOJ,0.1,16.4,NOJ-1975
1975,Leon Benbow,CHI,0.2,10.8,CHI-1975
1975,Henry Bibby,NYK,1.1,14.7,NYK-1975
1975,Henry Bibby,NOJ,0.4,14.4,NOJ-1975
1975,Dave Bing*,DET,5.3,17.1,DET-1975
1975,John Block,NOJ,0.0,15.2,NOJ-1975
1975,John Block,CHI,3.1,17.2,CHI-1975
1975,Tom Boerwinkle,CHI,3.8,18.6,CHI-1975
1975,Freddie Boyd,PHI,-0.3,9.6,PHI-1975
1975,Ken Boyd,NOJ,0.1,25.3,NOJ-1975
1975,Steve Bracey,GSW,0.3,12.4,GSW-1975
1975,Bill Bradley*,NYK,2.8,11.1,NYK-1975
1975,Jim Brewer,CLE,4.4,14.6,CLE-1975
1975,Bill Bridges,LAL,0.1,9.6,LAL-1975
1975,Bill Bridges,GSW,0.1,10.6,GSW-1975
1975,John Brisker,SEA,0.5,15.4,SEA-1975
1975,Allan Bristow,PHI,1.9,14.7,PHI-1975
1975,Gary Brokaw,MIL,1.6,12.2,MIL-1975
1975,Fred Brown,SEA,7.9,19.8,SEA-1975
1975,John Brown,ATL,4.2,13.9,ATL-1975
1975,Tom Burleson,SEA,3.3,16.1,SEA-1975
1975,Corky Calhoun,PHO,0.2,13.7,PHO-1975
1975,Corky Calhoun,LAL,0.7,8.7,LAL-1975
1975,Austin Carr,CLE,2.9,18.9,CLE-1975
1975,Fred Carter,PHI,4.7,15.9,PHI-1975
1975,Harvey Catchings,PHI,1.2,12.1,PHI-1975
1975,Don Chaney,BOS,5.1,12.9,BOS-1975
1975,Ken Charles,BUF,3.0,12.5,BUF-1975
1975,Phil Chenier,WSB,8.8,17.7,WSB-1975
1975,Jim Chones,CLE,6.2,16.1,CLE-1975
1975,Archie Clark,SEA,6.2,16.2,SEA-1975
1975,Jim Cleamons,CLE,5.5,13.8,CLE-1975
1975,Barry Clemens,POR,1.6,13.2,POR-1975
1975,Ben Clyde,BOS,0.2,11.3,BOS-1975
1975,E.C. Coleman,NOJ,2.6,10.8,NOJ-1975
1975,Doug Collins,PHI,7.7,16.4,PHI-1975
1975,Mel Counts,NOJ,2.0,14.8,NOJ-1975
1975,Dave Cowens*,BOS,9.5,19.3,BOS-1975
1975,Billy Cunningham*,PHI,6.1,19.2,PHI-1975
1975,Dick Cunningham,MIL,0.0,4.6,MIL-1975
1975,Mike D'Antoni,KCO,0.8,10.8,KCO-1975
1975,Bob Dandridge,MIL,7.0,16.7,MIL-1975
1975,Jesse Dark,NYK,0.3,11.0,NYK-1975
1975,Dwight Davis,CLE,3.3,13.6,CLE-1975
1975,Jim Davis,DET,2.3,14.5,DET-1975
1975,Mel Davis,NYK,0.4,12.6,NYK-1975
1975,Mickey Davis,MIL,2.6,14.4,MIL-1975
1975,Rod Derline,SEA,0.5,12.2,SEA-1975
