Source,Target,Win_Share
0,9,3.9000000000000004
0,91,6.2
0,119,8.8
0,139,4.7
0,148,11.100000000000001
0,152,9.600000000000001
0,162,9.3
0,167,5.300000000000001
0,197,13.8
0,234,5.1
9,91,2.7
9,119,5.3
9,139,1.2
9,148,7.6000000000000005
9,152,6.1000000000000005
9,162,5.8
9,167,1.8
9,197,10.299999999999999
9,234,1.5999999999999999
91,119,7.6
91,139,3.5
91,148,9.9
91,152,8.4
91,162,8.1
91,167,4.1
91,197,12.6
91,234,3.9
119,139,6.1
119,148,12.5
119,152,11.0
119,162,10.7
119,167,6.699999999999999
119,197,15.2
119,234,6.5
139,148,8.4
139,152,6.9
139,162,6.6
139,167,2.6
139,197,11.1
139,234,2.4
148,152,13.3
148,162,13.0
148,167,9.0
148,197,17.5
148,234,8.8
152,162,11.5
152,167,7.5
152,197,16.0
152,234,7.300000000000001
162,167,7.199999999999999
162,197,15.7
162,234,7.0
167,197,11.7
167,234,3.0
197,234,11.5
1,4,13.3
1,31,14.5
1,54,19.9
1,59,15.5
1,118,13.5
1,135,16.3
1,161,15.8
1,164,14.9
1,194,15.600000000000001
1,210,17.6
4,31,2.0
4,54,7.4
4,59,3.0
4,118,1.0
4,135,3.8
4,161,3.3
4,164,2.4
4,194,3.1
4,210,5.1000000000000005
31,54,8.6
31,59,4.2
31,118,2.2
31,135,5.0
31,161,4.5
31,164,3.6
31,194,4.300000000000001
31,210,6.300000000000001
54,59,9.6
54,118,7.6
54,135,10.4
54,161,9.9
54,164,9.0
54,194,9.7
54,210,11.7
59,118,3.2
59,135,6.0
59,161,5.5
59,164,4.6
59,194,5.300000000000001
59,210,7.300000000000001
118,135,4.0
118,161,3.5
118,164,2.6
118,194,3.3000000000000003
118,210,5.3
135,161,6.3
135,164,5.4
135,194,6.1
135,210,8.1
161,164,4.9
161,194,5.6
161,210,7.6
164,194,4.7
164,210,6.7
194,210,7.4
2,20,5.8
2,57,2.8
2,69,0.5
2,73,3.3
2,121,12.9
2,142,4.5
2,144,0.8
2,146,0.5
2,154,1.6
2,159,2.8
2,171,5.7
2,198,1.5
20,57,7.6
20,69,5.3
20,73,8.1
20,121,17.7
20,142,9.3
20,144,5.6
20,146,5.3
20,154,6.4
20,159,7.6
20,171,10.5
20,198,6.3
57,69,2.3
57,73,5.1
57,121,14.7
57,142,6.3
57,144,2.5999999999999996
57,146,2.3
57,154,3.4
57,159,4.6
57,171,7.5
57,198,3.3
69,73,2.8
69,121,12.4
69,142,4.0
69,144,0.3
69,154,1.1
69,159,2.3
69,171,5.2
69,198,1.0
73,121,15.2
73,142,6.8
73,144,3.0999999999999996
73,146,2.8
73,154,3.9
73,159,5.1
73,171,8.0
73,198,3.8
121,142,16.4
121,144,12.700000000000001
121,146,12.4
121,154,13.5
121,159,14.7
121,171,17.6
121,198,13.4
142,144,4.3
142,146,4.0
142,154,5.1
142,159,6.3
142,171,9.2
142,198,5.0
144,146,0.3
144,154,1.4000000000000001
144,159,2.5999999999999996
144,171,5.5
144,198,1.3
146,154,1.1
146,159,2.3
146,171,5.2
146,198,1.0
154,159,3.4
154,171,6.300000000000001
154,198,2.1
159,171,7.5
159,198,3.3
171,198,6.2
3,18,0.7
3,22,4.3
3,78,3.6
3,85,4.8
3,108,1.2
3,126,5.7
3,181,7.5
3,195,5.2
3,203,6.1
3,205,11.0
3,229,2.1
18,22,4.0
18,78,3.3000000000000003
18,85,4.5
18,108,0.8999999999999999
18,126,5.4
18,181,7.2
18,195,4.9
18,203,5.8
18,205,10.7
18,229,1.8
22,78,6.9
22,85,8.1
22,108,4.5
22,126,9.0
22,181,10.8
22,195,8.5
22,203,9.399999999999999
22,205,14.3
22,229,5.4
78,85,7.4
78,108,3.8
78,126,8.3
78,181,10.1
78,195,7.800000000000001
78,203,8.7
78,205,13.6
78,229,4.7
85,108,5.0
85,126,9.5
85,181,11.3
85,195,9.0
85,203,9.899999999999999
85,205,14.8
85,229,5.9
108,126,5.9
108,181,7.7
108,195,5.4
108,203,6.3
108,205,11.2
108,229,2.3
126,181,12.2
126,195,9.9
126,203,10.8
126,205,15.7
126,229,6.800000000000001
181,195,11.7
181,203,12.6
181,205,17.5
181,229,8.6
195,203,10.3
195,205,15.2
195,229,6.300000000000001
203,205,16.1
203,229,7.199999999999999
